0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	id	path	cell	gene	hoco_tf	tf
17	20	21	17	22	22	29	19	15	19	21	18	27	19	16	24	22	17	16	18	17	23	17	15	26	23	18	21	10	19	19	15	18	13	15	16	22	22	25	18	14	24	25	18	26	19	14	22	17	30	18	21	25	25	40	26	35	21	28	33	34	38	26	33	29	32	23	25	25	22	13	10	20	13	18	14	18	15	15	14	24	16	23	27	25	29	32	34	31	29	27	32	23	15	17	21	17	27	30	23	23	24	24	23	27	28	11	17	16	21	17	28	18	16	21	25	18	18	22	15	16	20	20	26	24	16	22	18	16	28	20	18	20	14	20	22	15	24	21	24	16	17	22	14	23	19	22	20	20	23	8458_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/8458_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
14	16	22	19	26	22	17	14	23	11	24	15	15	22	11	21	23	16	13	18	17	22	21	13	25	21	18	18	12	18	14	16	22	10	26	14	12	17	20	18	20	21	18	21	25	22	24	18	13	27	19	13	19	31	20	15	21	33	21	25	22	16	18	13	26	23	30	22	35	53	65	145	312	615	940	923	519	175	120	58	46	32	29	17	32	18	16	19	15	26	20	23	19	21	24	18	21	27	23	22	18	20	23	24	18	14	15	17	21	22	12	20	16	16	19	17	12	16	26	20	21	19	19	16	19	23	13	17	16	23	18	16	14	22	14	30	20	14	18	16	15	17	8	11	30	17	15	17	23	22	45884_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/45884_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
6	8	5	5	5	4	6	2	3	4	5	5	3	7	9	10	3	7	4	8	6	5	9	4	5	5	5	4	6	4	8	4	4	3	3	1	5	6	8	9	3	3	3	8	5	12	4	5	5	6	7	7	2	4	5	5	3	6	7	5	7	5	6	0	6	11	9	9	16	22	29	52	109	227	417	393	239	115	43	26	16	16	15	8	6	3	7	5	7	12	12	5	3	4	8	7	6	5	6	7	2	4	5	8	10	5	2	8	4	5	10	2	4	3	4	6	7	3	6	2	5	4	7	5	6	5	4	11	9	3	5	4	4	8	4	2	6	3	4	8	5	2	4	5	6	5	5	6	7	3	2001_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/2001_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
11	14	9	14	9	14	15	10	7	13	10	11	11	8	14	10	11	7	10	16	9	14	15	13	11	14	9	9	13	10	13	8	7	9	12	12	13	14	11	5	7	7	16	12	14	11	15	12	16	8	15	17	7	13	12	8	10	9	6	12	7	11	5	12	14	20	18	19	28	44	63	116	249	481	766	756	460	224	101	61	52	33	21	14	14	18	9	6	18	10	11	8	11	14	4	10	10	14	15	10	9	13	13	11	15	6	14	5	11	14	7	6	13	15	5	10	10	13	7	11	8	13	9	12	7	11	10	19	6	19	9	8	15	10	7	13	4	8	14	14	7	8	8	10	11	10	16	8	18	10	84533_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/84533_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
9	2	8	4	4	6	9	4	6	7	5	5	4	6	6	8	10	8	5	2	9	6	6	7	4	4	7	5	4	4	6	4	7	6	7	4	4	7	9	4	5	3	6	9	6	10	4	7	7	11	3	5	6	7	8	6	5	3	3	4	8	2	4	7	6	11	11	9	19	29	33	70	133	243	399	437	337	177	89	41	29	16	17	10	9	5	6	6	7	12	5	6	6	3	4	13	4	7	5	6	9	5	9	7	1	12	2	3	7	8	5	0	8	3	3	4	6	6	1	3	8	4	6	7	1	8	5	8	7	4	9	6	7	1	5	3	8	7	4	3	9	6	1	9	5	8	6	5	7	8	84686_GATA1_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/84686_GATA1_K562_3_3	K562	GATA1	GATA1	GATA1_HUMAN.H11MO.0.A
13	22	12	14	12	20	16	11	9	7	18	8	8	12	10	15	11	16	15	7	12	13	15	16	15	19	4	13	13	13	17	9	12	11	12	13	14	11	12	8	13	9	15	19	15	9	17	11	13	14	9	18	9	17	12	13	18	12	23	13	14	15	16	15	16	17	24	21	27	36	83	148	250	413	588	628	451	230	125	75	49	22	13	20	9	22	14	7	13	18	17	9	19	17	16	14	17	9	20	16	14	13	14	15	17	13	20	8	12	14	8	13	12	8	23	14	11	13	14	10	9	14	14	16	12	12	10	11	15	14	10	7	9	9	13	10	12	10	12	12	6	19	16	18	18	12	11	19	13	12	8430_GATA2_K562_2_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/8430_GATA2_K562_2_3	K562	GATA2	GATA2	GATA2_HUMAN.H11MO.0.A
11	16	9	16	17	20	17	22	13	12	11	19	14	22	18	19	19	22	10	15	18	17	15	10	18	9	24	22	16	12	19	11	15	12	20	17	18	16	14	12	15	11	23	27	26	15	18	13	16	13	16	16	15	15	16	12	17	21	21	17	13	30	17	21	15	23	28	29	39	58	70	154	270	478	596	688	441	239	135	80	58	40	20	18	22	19	20	16	21	17	16	19	18	13	25	27	18	18	13	19	20	19	15	28	17	21	21	20	11	9	20	14	14	15	18	14	21	13	12	9	13	13	19	22	14	13	20	27	10	14	15	19	17	20	14	13	18	15	12	19	13	14	12	17	13	13	22	18	17	23	2002_GATA2_K562_2_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/2002_GATA2_K562_2_3	K562	GATA2	GATA2	GATA2_HUMAN.H11MO.0.A
10	15	28	22	25	26	21	22	23	22	23	27	20	20	19	31	26	24	34	14	21	19	35	25	14	17	24	24	22	32	16	22	27	17	28	25	26	26	20	23	25	28	16	19	29	20	31	28	20	32	30	19	27	21	20	25	39	27	29	23	37	41	31	45	45	46	75	73	92	140	191	219	332	450	436	416	417	344	293	183	153	114	77	66	60	45	36	32	25	31	32	26	30	22	23	26	21	33	23	25	24	26	30	24	25	19	33	15	28	27	27	21	21	13	17	16	18	25	20	33	14	22	22	15	21	20	27	25	19	15	24	22	35	25	23	32	10	26	11	23	26	28	23	13	29	26	36	28	21	29	7485_GATA2_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/7485_GATA2_K562_3_3	K562	GATA2	GATA2	GATA2_HUMAN.H11MO.0.A
11	16	9	16	17	20	17	22	13	12	11	19	14	22	18	19	19	22	10	15	18	17	15	10	18	9	24	22	16	12	19	11	15	12	20	17	18	16	14	12	15	11	23	27	26	15	18	13	16	13	16	16	15	15	16	12	17	21	21	17	13	30	17	21	15	23	28	29	39	58	70	154	270	478	596	688	441	239	135	80	58	40	20	18	22	19	20	16	21	17	16	19	18	13	25	27	18	18	13	19	20	19	15	28	17	21	21	20	11	9	20	14	14	15	18	14	21	13	12	9	13	13	19	22	14	13	20	27	10	14	15	19	17	20	14	13	18	15	12	19	13	14	12	17	13	13	22	18	17	23	45944_GATA2_K562_2_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/45944_GATA2_K562_2_3	K562	GATA2	GATA2	GATA2_HUMAN.H11MO.0.A
29	18	28	23	29	24	29	21	26	29	27	38	25	25	33	24	42	30	24	21	30	26	25	27	25	22	43	24	20	26	20	28	28	26	26	36	30	39	17	23	24	31	27	38	41	31	36	18	26	23	19	28	31	40	28	23	36	24	38	22	32	21	23	33	22	29	35	43	54	69	92	166	365	643	1042	1075	697	353	171	90	81	43	41	24	27	27	16	28	30	38	21	22	27	26	33	30	31	30	31	38	28	24	29	27	26	28	28	25	18	29	22	28	31	27	27	27	34	20	26	28	27	26	28	19	27	34	22	30	30	27	24	34	27	23	31	31	23	23	22	24	30	16	27	35	25	27	29	38	31	22	46290_GATA2_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/46290_GATA2_K562_3_3	K562	GATA2	GATA2	GATA2_HUMAN.H11MO.0.A
