"","SRR3728891","SRR3728890","SRR3728893","SRR3728892"
"A1BG;NM_130786.4",19.920939323958,27.4552980775151,18.9980545291296,28.2356566544042
"A1BG-AS1;NR_015380.2",41.1699412695131,62.8814891452765,38.9460117847158,26.4709281135039
"A1CF;NM_014576.4",1.3280626215972,1.77130955338807,0,3.52945708180052
"A2M;NM_000014.6",2.6561252431944,1.77130955338807,3.79961090582593,1.76472854090026
"A2M-AS1;NR_026971.1",55.7786301070823,47.8253579414779,23.747568161412,31.7651137362047
"A2ML1;NM_144670.6",5.31225048638879,2.65696433008211,5.69941635873889,12.3530997863018
"A2MP1;NR_040112.1",0,0,8.54912453810834,6.17654989315091
"A3GALT2;NM_001080438.1",31.8735029183327,34.5405362910674,44.6454281434546,58.2360418497086
"A4GALT;NR_146459.3",5.31225048638879,4.42827388347018,0.949902726456482,0
"A4GNT;NM_016161.3",0,0,0,0
"AA06;NR_037584.2",0,0,0,0
"AAAS;NM_015665.6",75.6995694310403,100.96464454312,87.3910508339963,88.236427045013
"AACS;NM_023928.5",572.394989908392,599.588283821862,567.09192769452,549.712940490431
"AACSP1;NR_024035.2",67.7311937014571,61.9958343685825,62.6935799461278,60.883134661059
"AADAC;NM_001086.3",0,0,0,0
"AADACL2;NM_207365.4",0,0,0,0
"AADACL2-AS1;NR_110202.1",1.3280626215972,0.885654776694035,0.949902726456482,3.52945708180052
"AADACL3;NM_001103170.3",0,0.885654776694035,0,0
"AADACL4;NM_001013630.2",2.6561252431944,0,1.89980545291296,0.88236427045013
"AADACP1;NR_026915.1",0,0,0,0
"AADAT;NM_001286683.1",138.118512646109,139.933454717658,148.184825327211,162.355025762824
"AAGAB;NM_001271885.2",438.260665127075,441.05607879363,647.833659443321,582.360418497086
"AAK1;NM_014911.5",1571.09808134948,1680.97276616528,1566.38959592674,1594.43223670339
"AAMDC;NM_001316957.3",576.379177773184,401.201613842398,437.905156896438,326.474780066548
"AAMP;NM_001087.5",43.8260665127075,52.2536318249481,46.5452335963676,52.0594919565577
"AANAT;NM_001166579.2",3.98418786479159,7.97089299024632,4.74951363228241,4.41182135225065
"AAR2;NM_015511.5",196.553267996385,192.187086542606,196.629864376492,199.414325121729
"AARD;NM_001025357.3",1.3280626215972,0,0,0
"AARS1;NM_001605.3",1001.35921668429,1000.78989766426,1033.49416638465,1024.4249179926
"AARS2;NM_020745.4",106.245009727776,116.020775746919,93.0904671927352,97.9424340199645
"AARSD1;NM_001261434.2",96.9485713765954,113.363811416837,110.188716268952,100.589526831315
"AASDH;NM_181806.4",432.948414640686,455.226555220734,407.508269649831,383.828457645807
"AASDHPPT;NM_015423.3",350.60853210166,364.004113221249,356.213522421181,399.711014513909
"AASS;NM_005763.4",155.383326726872,162.074824135008,115.888132627691,105.883712454016
"AATBC;NR_026961.1",0,1.77130955338807,0.949902726456482,0.88236427045013
"AATF;NM_012138.4",848.632015200609,743.95001242299,833.064691102334,772.951100914314
"AATK;NM_004920.3",17.2648140807636,19.4844050872688,12.3487354439343,19.4120139499029
"ABALON;NR_131907.1",26.561252431944,30.9979171842912,31.3467899730639,32.6474780066548
"ABAT;NM_020686.6",369.201408804021,348.94798201745,181.431420753188,164.119754303724
"ABCA1;NM_005502.4",116.869510700553,115.135120970225,190.930448017753,188.825953876328
"ABCA10;NM_080282.4",69.0592563230543,69.9667273588288,211.828307999795,271.76819529864
"ABCA11P;NR_002451.2",1197.91248468067,1164.63603135266,1175.02967262667,1144.42645877382
"ABCA12;NM_015657.4",341.31209375048,377.288934871659,308.718386098357,354.710436720952
"ABCA13;NM_152701.5",15.9367514591664,3.54261910677614,16.1483463497602,9.70600697495144
"ABCA17P;NR_003574.1",128.822074294928,116.020775746919,80.7417317488009,91.7658841268136
"ABCA2;NM_001606.5",274.90896267062,268.353397338293,268.822471587184,212.649789178481
"ABCA3;NM_001089.3",236.395146644301,229.384587163755,209.928502546882,197.649596580829
"ABCA4;NM_000350.3",26.561252431944,31.8835719609853,49.3949417757371,67.0596845542099
"ABCA5;NM_172232.4",290.845714129786,301.122624075972,756.122570259359,750.009629882611
"ABCA6;NM_080284.3",0,0,0.949902726456482,2.64709281135039
"ABCA7;NM_019112.4",122.181761186942,131.962561727411,89.2908562869093,80.2951486109619
"ABCA8;NM_007168.4",0,0,0.949902726456482,0
"ABCA9;NM_080283.4",0,3.54261910677614,3.79961090582593,0.88236427045013
