"","SRR5944047","SRR5944048","SRZ5944049","SRZ5944050"
"A1BG;NM_130786.4",1.02042895410822,2.75994224954478,1.81814380198389,3.09644040311735
"A1BG-AS1;NR_015380.2",0,0,0.909071900991945,0
"A1CF;NM_014576.4",0,0,2.72721570297583,0
"A2M;NM_001347423.2",11.2247184951905,19.3195957468134,10.9088628119033,14.7080919148074
"A2M-AS1;NR_026971.1",15.3064343116234,11.0397689981791,8.1816471089275,7.74110100779338
"A2ML1;NM_001282424.3",1.02042895410822,0,0.909071900991945,0.774110100779338
"A2MP1;NR_040112.1",0,0,0,0
"A3GALT2;NM_001080438.1",94.8998927320648,70.3785273633918,119.088419029945,102.956643403652
"A4GALT;NM_001318038.3",28.5720107150303,24.839480245903,25.4540132277744,23.2233030233801
"A4GNT;NM_016161.3",2.04085790821645,1.37997112477239,2.72721570297583,0
"AA06;NR_037584.2",0,0,0,0
"AAAS;NM_015665.6",80.6138873745497,80.0383252367985,67.2713206734039,70.4440191709198
"AACS;NM_023928.5",437.764021312428,364.312376939911,312.720733941229,330.545013032777
"AACSP1;NR_024035.2",8.16343163286579,0,0,2.32233030233801
"AADAC;NM_001086.3",0,0,0,0
"AADACL2;NM_207365.4",2.04085790821645,1.37997112477239,0.909071900991945,0.774110100779338
"AADACL2-AS1;NR_110202.1",2.04085790821645,0,1.81814380198389,0.774110100779338
"AADACL3;NM_001103170.3",0,0,0,0
"AADACL4;NM_001013630.2",0,0,0.909071900991945,0.774110100779338
"AADACP1;NR_026915.1",0,0,0,0
"AADAT;NM_182662.2",207.147077683969,211.135582090175,204.541177723188,214.428497915877
"AAGAB;NM_001271885.2",761.239999764735,724.484840505504,847.255011724492,833.716578539347
"AAK1;NM_014911.5",1442.88654110903,1451.72962326055,1381.78928950776,1456.10109956593
"AAMDC;NM_001316957.3",778.587291984575,716.20501375687,679.985781941975,606.128208910222
"AAMP;NM_001087.5",170.411635336073,128.337314603832,176.359948792437,135.469267636384
"AANAT;NM_001166579.2",3.06128686232467,1.37997112477239,1.81814380198389,0.774110100779338
"AAR2;NM_015511.5",336.741554855714,408.471452932627,357.265257089834,334.415563536674
"AARD;NM_001025357.3",2.04085790821645,0,0,0.774110100779338
"AARS1;NM_001605.3",332.659839039281,335.33298331969,309.084446337261,317.385141319529
"AARS2;NM_020745.4",142.860053575151,114.537603356108,96.3616215051461,99.0860928997553
"AARSD1;NM_001261434.2",68.368739925251,74.518440737709,84.5436867922509,77.4110100779338
"AASDH;NM_181806.4",258.168525389381,252.534715833347,253.631060376753,250.811672652506
"AASDHPPT;NM_015423.3",628.584235730666,630.646804020982,676.349494338007,711.407182616212
"AASS;NM_005763.4",347.966273350904,333.953012194918,319.084237248173,291.065397893031
"AATBC;NR_026961.1",1.02042895410822,0,3.63628760396778,3.87055050389669
"AATF;NM_012138.4",4929.69227729683,5067.25397016421,4149.91322802823,4078.78612100633
"AATK;NM_004920.3",2.04085790821645,4.13991337431717,3.63628760396778,3.87055050389669
"ABALON;NR_131907.1",55.1031635218441,53.8188738661232,47.2717388515811,54.961817155333
"ABAT;NM_020686.6",80.6138873745497,49.678960491806,399.082564535464,418.019454420843
"ABCA1;NM_005502.4",47.9601608430865,53.8188738661232,81.816471089275,82.8297807833892
"ABCA10;NM_080282.4",164.289061611424,150.41685260019,324.538668654124,329.770902931998
"ABCA11P;NR_002451.2",1094.92026775812,1155.03583143449,1061.79598035859,1161.93926126979
"ABCA12;NM_173076.3",10.2042895410822,2.75994224954478,9.09071900991945,0
"ABCA13;NM_152701.5",22.4494369903809,11.0397689981791,32.72658843571,17.8045323179248
"ABCA17P;NR_003574.1",5.10214477054112,4.13991337431717,11.8179347128953,6.96699090701404
"ABCA2;NM_212533.3",74.4913136499003,77.2783829872538,54.5443140595167,53.4135969537743
"ABCA3;NM_001089.3",40.817158164329,40.0191626183993,61.8168892674522,57.284147457671
"ABCA4;NM_000350.3",60.2053082923852,59.3387583652127,62.7259611684442,70.4440191709198
"ABCA5;NM_172232.4",507.153190191787,527.148969663053,811.801207585807,829.071917934671
"ABCA6;NM_080284.3",0,0,5.45443140595167,0.774110100779338
"ABCA7;NM_019112.4",56.1235924759523,41.3991337431717,44.5445231486053,54.1877070545537
"ABCA8;NM_007168.4",1.02042895410822,0,0.909071900991945,0
"ABCA9;NM_080283.4",1.02042895410822,1.37997112477239,2.72721570297583,4.64466060467603
"ABCA9-AS1;NR_126414.1",2.04085790821645,2.75994224954478,1.81814380198389,2.32233030233801
"ABCB1;NM_001348946.2",779.607720938683,810.043050241392,618.168892674522,653.348925057761
"ABCB10;NM_012089.3",206.126648729861,259.434571457209,203.632105822196,218.299048419773
"ABCB11;NM_003742.4",2.04085790821645,2.75994224954478,0.909071900991945,0
"ABCB4;NM_000443.4",415.314584322047,430.550990928985,372.719479406697,376.991619079538
"ABCB5;NM_178559.6",2.04085790821645,0,1.81814380198389,1.54822020155868
"ABCB6;NM_005689.4",106.124611227255,68.9985562386194,80.9073991882831,58.8323676592297
"ABCB7;NM_004299.6",1331.65978511123,1425.51017188988,1396.33443992363,1481.64673289165
"ABCB8;NM_007188.5",74.4913136499003,107.637747732246,92.7253339011784,94.4414322950793
"ABCB9;NM_203444.4",59.184879338277,52.4389027413508,62.7259611684442,65.0252484654644
"ABCC1;NM_004996.4",972.468793265137,959.07993171681,977.252293566341,1020.27711282717
"ABCC10;NM_001198934.2",168.370777427857,195.955899717679,180.905308297397,206.687396908083
"ABCC11;NM_001370497.1",20.4085790821645,40.0191626183993,29.0903008317422,25.5456333257182
